tf	group	offset_bp	protection_score	n_sites	site_coordinate	lineage
BACH2	B_cell	-175	0.00015395635708598818	5000	motif_center	B_cell
BACH2	B_cell	-174	0.0001418726666914255	5000	motif_center	B_cell
BACH2	B_cell	-173	0.0001273462608682896	5000	motif_center	B_cell
BACH2	B_cell	-172	0.000102489238125383	5000	motif_center	B_cell
BACH2	B_cell	-171	8.028072545084204e-05	5000	motif_center	B_cell
BACH2	B_cell	-170	7.999084919199824e-05	5000	motif_center	B_cell
BACH2	B_cell	-169	0.00011370397109209231	5000	motif_center	B_cell
BACH2	B_cell	-168	0.0001330581730906279	5000	motif_center	B_cell
BACH2	B_cell	-167	0.00012561872523081906	5000	motif_center	B_cell
BACH2	B_cell	-166	0.00012193880895180467	5000	motif_center	B_cell
BACH2	B_cell	-165	0.00011311648112624813	5000	motif_center	B_cell
BACH2	B_cell	-164	0.00010593538437696053	5000	motif_center	B_cell
BACH2	B_cell	-163	9.585928754608439e-05	5000	motif_center	B_cell
BACH2	B_cell	-162	0.00010018192564154645	5000	motif_center	B_cell
BACH2	B_cell	-161	0.00012815553575075238	5000	motif_center	B_cell
BACH2	B_cell	-160	0.00013245395238352864	5000	motif_center	B_cell
BACH2	B_cell	-159	0.0001750450315723259	5000	motif_center	B_cell
BACH2	B_cell	-158	0.00017462968038161383	5000	motif_center	B_cell
BACH2	B_cell	-157	0.00017114274034818076	5000	motif_center	B_cell
BACH2	B_cell	-156	0.00018435931719923328	5000	motif_center	B_cell
BACH2	B_cell	-155	0.0002277635754691365	5000	motif_center	B_cell
BACH2	B_cell	-154	0.0002531724340747131	5000	motif_center	B_cell
BACH2	B_cell	-153	0.00026328951153321324	5000	motif_center	B_cell
BACH2	B_cell	-152	0.00024030740576073484	5000	motif_center	B_cell
BACH2	B_cell	-151	0.00023071772963232382	5000	motif_center	B_cell
BACH2	B_cell	-150	0.00022788142287896674	5000	motif_center	B_cell
BACH2	B_cell	-149	0.00025790003542365547	5000	motif_center	B_cell
BACH2	B_cell	-148	0.0002459066399357148	5000	motif_center	B_cell
BACH2	B_cell	-147	0.0002489176027517001	5000	motif_center	B_cell
BACH2	B_cell	-146	0.0002696005438677378	5000	motif_center	B_cell
BACH2	B_cell	-145	0.0002516455782753616	5000	motif_center	B_cell
BACH2	B_cell	-144	0.0002443610823069306	5000	motif_center	B_cell
BACH2	B_cell	-143	0.0002661017693477486	5000	motif_center	B_cell
BACH2	B_cell	-142	0.0002898451501748382	5000	motif_center	B_cell
BACH2	B_cell	-141	0.000299533072340109	5000	motif_center	B_cell
BACH2	B_cell	-140	0.0002653329494699593	5000	motif_center	B_cell
BACH2	B_cell	-139	0.0002766050184563034	5000	motif_center	B_cell
BACH2	B_cell	-138	0.0002887517822940662	5000	motif_center	B_cell
BACH2	B_cell	-137	0.00032961501244112594	5000	motif_center	B_cell
BACH2	B_cell	-136	0.0003536057607869776	5000	motif_center	B_cell
BACH2	B_cell	-135	0.00034784901093632423	5000	motif_center	B_cell
BACH2	B_cell	-134	0.0002964380042086989	5000	motif_center	B_cell
BACH2	B_cell	-133	0.0002549771317903477	5000	motif_center	B_cell
BACH2	B_cell	-132	0.00025580729844645834	5000	motif_center	B_cell
BACH2	B_cell	-131	0.000283007893803101	5000	motif_center	B_cell
BACH2	B_cell	-130	0.00029258598684200193	5000	motif_center	B_cell
BACH2	B_cell	-129	0.0003086936087650905	5000	motif_center	B_cell
BACH2	B_cell	-128	0.0003060279716712135	5000	motif_center	B_cell
BACH2	B_cell	-127	0.00030944758813485204	5000	motif_center	B_cell
BACH2	B_cell	-126	0.0002886102902144184	5000	motif_center	B_cell
BACH2	B_cell	-125	0.0002688920840027316	5000	motif_center	B_cell
BACH2	B_cell	-124	0.0002736959722853373	5000	motif_center	B_cell
BACH2	B_cell	-123	0.00026065472889348585	5000	motif_center	B_cell
BACH2	B_cell	-122	0.0002508154152198925	5000	motif_center	B_cell
BACH2	B_cell	-121	0.00025128640227516574	5000	motif_center	B_cell
BACH2	B_cell	-120	0.00027138555536738475	5000	motif_center	B_cell
BACH2	B_cell	-119	0.0002905407519092169	5000	motif_center	B_cell
BACH2	B_cell	-118	0.00027114808352055	5000	motif_center	B_cell
BACH2	B_cell	-117	0.00023432288921186812	5000	motif_center	B_cell
BACH2	B_cell	-116	0.00018694794148608725	5000	motif_center	B_cell
BACH2	B_cell	-115	0.00015418651075188063	5000	motif_center	B_cell
BACH2	B_cell	-114	0.00016275732073187717	5000	motif_center	B_cell
BACH2	B_cell	-113	0.0001528052093296775	5000	motif_center	B_cell
BACH2	B_cell	-112	0.00012152699889739303	5000	motif_center	B_cell
BACH2	B_cell	-111	0.00010736863997507645	5000	motif_center	B_cell
BACH2	B_cell	-110	8.400027125269596e-05	5000	motif_center	B_cell
BACH2	B_cell	-109	6.551296935384306e-05	5000	motif_center	B_cell
BACH2	B_cell	-108	6.753544969809394e-05	5000	motif_center	B_cell
BACH2	B_cell	-107	7.871450785464735e-05	5000	motif_center	B_cell
BACH2	B_cell	-106	8.166313720411791e-05	5000	motif_center	B_cell
BACH2	B_cell	-105	0.00010364030911288666	5000	motif_center	B_cell
BACH2	B_cell	-104	0.00010179692212456803	5000	motif_center	B_cell
BACH2	B_cell	-103	8.695483580302725e-05	5000	motif_center	B_cell
BACH2	B_cell	-102	9.98466697101092e-05	5000	motif_center	B_cell
BACH2	B_cell	-101	0.00010852335405515468	5000	motif_center	B_cell
BACH2	B_cell	-100	0.00013082309354321394	5000	motif_center	B_cell
BACH2	B_cell	-99	9.150245090656884e-05	5000	motif_center	B_cell
BACH2	B_cell	-98	5.2282733405156333e-05	5000	motif_center	B_cell
BACH2	B_cell	-97	3.7640520942116076e-05	5000	motif_center	B_cell
BACH2	B_cell	-96	4.81012228847966e-05	5000	motif_center	B_cell
BACH2	B_cell	-95	4.779052738963568e-05	5000	motif_center	B_cell
BACH2	B_cell	-94	4.801810618761983e-05	5000	motif_center	B_cell
BACH2	B_cell	-93	3.388843948642396e-05	5000	motif_center	B_cell
BACH2	B_cell	-92	6.523690236253385e-05	5000	motif_center	B_cell
BACH2	B_cell	-91	0.00010792768895034627	5000	motif_center	B_cell
BACH2	B_cell	-90	0.00011831121237812449	5000	motif_center	B_cell
BACH2	B_cell	-89	0.00016641045364761175	5000	motif_center	B_cell
BACH2	B_cell	-88	0.0001804728346514327	5000	motif_center	B_cell
BACH2	B_cell	-87	0.00013850832273420858	5000	motif_center	B_cell
BACH2	B_cell	-86	5.653251513673208e-05	5000	motif_center	B_cell
BACH2	B_cell	-85	-4.263637274976723e-06	5000	motif_center	B_cell
BACH2	B_cell	-84	2.5983533549411506e-06	5000	motif_center	B_cell
BACH2	B_cell	-83	1.1832109955096058e-05	5000	motif_center	B_cell
BACH2	B_cell	-82	2.339310623705477e-05	5000	motif_center	B_cell
BACH2	B_cell	-81	-3.31384192993724e-05	5000	motif_center	B_cell
BACH2	B_cell	-80	-7.268070566796101e-05	5000	motif_center	B_cell
BACH2	B_cell	-79	-0.00011586424802953292	5000	motif_center	B_cell
BACH2	B_cell	-78	-0.00011999826322330346	5000	motif_center	B_cell
BACH2	B_cell	-77	-9.159743719867278e-05	5000	motif_center	B_cell
BACH2	B_cell	-76	-9.522187360482557e-05	5000	motif_center	B_cell
BACH2	B_cell	-75	-0.0001394156677581018	5000	motif_center	B_cell
BACH2	B_cell	-74	-0.00013940478298351926	5000	motif_center	B_cell
BACH2	B_cell	-73	-0.0001860772069498663	5000	motif_center	B_cell
BACH2	B_cell	-72	-0.0002724878306658504	5000	motif_center	B_cell
BACH2	B_cell	-71	-0.00032911434492989165	5000	motif_center	B_cell
BACH2	B_cell	-70	-0.00037522375891180324	5000	motif_center	B_cell
BACH2	B_cell	-69	-0.0003631947444464492	5000	motif_center	B_cell
BACH2	B_cell	-68	-0.0004324083385403663	5000	motif_center	B_cell
BACH2	B_cell	-67	-0.0004596069550710539	5000	motif_center	B_cell
BACH2	B_cell	-66	-0.00041414663733636576	5000	motif_center	B_cell
BACH2	B_cell	-65	-0.00035954953204237307	5000	motif_center	B_cell
BACH2	B_cell	-64	-0.0003008906413569817	5000	motif_center	B_cell
BACH2	B_cell	-63	-0.00037097497027994194	5000	motif_center	B_cell
BACH2	B_cell	-62	-0.00037822384481486955	5000	motif_center	B_cell
BACH2	B_cell	-61	-0.0004043597692532674	5000	motif_center	B_cell
BACH2	B_cell	-60	-0.00035776650427329264	5000	motif_center	B_cell
BACH2	B_cell	-59	-0.00033727749763784063	5000	motif_center	B_cell
BACH2	B_cell	-58	-0.0003566741242181687	5000	motif_center	B_cell
BACH2	B_cell	-57	-0.0003508293103637204	5000	motif_center	B_cell
BACH2	B_cell	-56	-0.0003633540523610406	5000	motif_center	B_cell
BACH2	B_cell	-55	-0.00035595873684211334	5000	motif_center	B_cell
BACH2	B_cell	-54	-0.00034689714884095744	5000	motif_center	B_cell
BACH2	B_cell	-53	-0.00035954062708147896	5000	motif_center	B_cell
BACH2	B_cell	-52	-0.00031743066004982995	5000	motif_center	B_cell
BACH2	B_cell	-51	-0.0002939158470554957	5000	motif_center	B_cell
BACH2	B_cell	-50	-0.00030618728365500733	5000	motif_center	B_cell
BACH2	B_cell	-49	-0.000312683168484814	5000	motif_center	B_cell
BACH2	B_cell	-48	-0.0003491551191806791	5000	motif_center	B_cell
BACH2	B_cell	-47	-0.0003147857952508189	5000	motif_center	B_cell
BACH2	B_cell	-46	-0.0003128395027645987	5000	motif_center	B_cell
BACH2	B_cell	-45	-0.0003369836165675556	5000	motif_center	B_cell
BACH2	B_cell	-44	-0.0003361959939144907	5000	motif_center	B_cell
BACH2	B_cell	-43	-0.0003293310340004305	5000	motif_center	B_cell
BACH2	B_cell	-42	-0.0002944343210856126	5000	motif_center	B_cell
BACH2	B_cell	-41	-0.0003021165846881892	5000	motif_center	B_cell
BACH2	B_cell	-40	-0.0003120904645044671	5000	motif_center	B_cell
BACH2	B_cell	-39	-0.0003225917347248579	5000	motif_center	B_cell
BACH2	B_cell	-38	-0.0003187060765285814	5000	motif_center	B_cell
BACH2	B_cell	-37	-0.0002890773158974588	5000	motif_center	B_cell
BACH2	B_cell	-36	-0.00029634895002014165	5000	motif_center	B_cell
BACH2	B_cell	-35	-0.0003188693407594218	5000	motif_center	B_cell
BACH2	B_cell	-34	-0.0003273847387385738	5000	motif_center	B_cell
BACH2	B_cell	-33	-0.00029001731362347533	5000	motif_center	B_cell
BACH2	B_cell	-32	-0.0003050622403893673	5000	motif_center	B_cell
BACH2	B_cell	-31	-0.00035494945875496134	5000	motif_center	B_cell
BACH2	B_cell	-30	-0.0004002475039159483	5000	motif_center	B_cell
BACH2	B_cell	-29	-0.00037482400110056425	5000	motif_center	B_cell
BACH2	B_cell	-28	-0.00029030722948885073	5000	motif_center	B_cell
BACH2	B_cell	-27	-0.00025151892257067876	5000	motif_center	B_cell
BACH2	B_cell	-26	-0.00023369654570874667	5000	motif_center	B_cell
BACH2	B_cell	-25	-0.00020319111259636292	5000	motif_center	B_cell
BACH2	B_cell	-24	-0.00014971507869448054	5000	motif_center	B_cell
BACH2	B_cell	-23	-0.00012112328668482854	5000	motif_center	B_cell
BACH2	B_cell	-22	-0.0001473403465113935	5000	motif_center	B_cell
BACH2	B_cell	-21	-0.00020459814412939186	5000	motif_center	B_cell
BACH2	B_cell	-20	-0.00021971728191512874	5000	motif_center	B_cell
BACH2	B_cell	-19	-0.00020302785110260825	5000	motif_center	B_cell
