tf	group	offset_bp	cutsite_cpm	n_sites	total_motif_hits	signal_column	site_coordinate	lineage
SPIB	B_cell	-193	0.003954211007872496	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-192	0.003966065170230148	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-191	0.004014393692934222	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-190	0.004217217166548414	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-189	0.004328073156956738	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-188	0.004150781733367941	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-187	0.004087993733650023	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-186	0.004008662008220028	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-185	0.004040577065380282	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-184	0.004138536772725106	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-183	0.00403289140247428	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-182	0.003995114390217959	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-181	0.004001627668482028	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-180	0.0040804383305074726	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-179	0.004137885444388019	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-178	0.004129418180614462	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-177	0.004123947031183535	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-176	0.0041199087981902355	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-175	0.004072361869939069	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-174	0.004073925054174025	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-173	0.004045136365826212	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-172	0.004022600425161198	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-171	0.004028853173186527	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-170	0.004093855682238026	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-169	0.004111571799286937	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-168	0.004096591261203971	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-167	0.004092943823911311	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-166	0.0040512588448086495	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-165	0.0040697565552517394	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-164	0.004052040445613925	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-163	0.004119908798844156	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-162	0.004224251509742849	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-161	0.004092422762499659	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-160	0.004142444738512719	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-159	0.0041548199655827645	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-158	0.004147004032045778	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-157	0.004213439462112344	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-156	0.004079526474485048	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-155	0.004195983881654542	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-154	0.004168628114788884	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-153	0.004297069955694352	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-152	0.004288211894133838	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-151	0.004292510664309889	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-150	0.004195332555746302	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-149	0.0043397970588658795	119634	119634	cutsite_bigwig	motif_center	B_cell
SPIB	B_cell	-148	0.004375620086422328	119634	119634	cutsite_bigwig	motif_center	B_cell
