stratum	group	n_regions	mean	median	sd
19	No HNF4A/FOXA2	100	0.0096283376	0.009617125	0.00022337509
20	FOXA2 only	100	0.010499857	0.010530633	0.00023632388
20	HNF4A + FOXA2	100	0.010460108	0.010468324	0.00025696093
20	HNF4A only	100	0.010480559	0.010529174	0.0002516566
20	No HNF4A/FOXA2	100	0.010462259	0.01048062	0.00025146535
21	FOXA2 only	100	0.011383156	0.011385172	0.00023363986
21	HNF4A + FOXA2	100	0.011390246	0.011379533	0.00026341388
21	HNF4A only	100	0.011378834	0.01139916	0.00028933978
21	No HNF4A/FOXA2	100	0.011331369	0.011292731	0.00027763842
22	FOXA2 only	100	0.012328357	0.012299528	0.00029316617
22	HNF4A + FOXA2	100	0.01239497	0.012409262	0.00029622542
22	HNF4A only	100	0.012279281	0.012253162	0.0002945268
22	No HNF4A/FOXA2	100	0.012360559	0.012345662	0.00029260964
23	FOXA2 only	100	0.013441044	0.013494175	0.00031994808
23	HNF4A + FOXA2	100	0.013440485	0.013446036	0.000330559
23	HNF4A only	100	0.013377219	0.013363534	0.00032185273
23	No HNF4A/FOXA2	100	0.013398246	0.013363035	0.00033275883
24	FOXA2 only	100	0.014523833	0.014513024	0.00033096842
24	HNF4A + FOXA2	100	0.014597655	0.014621977	0.00034948635
24	HNF4A only	100	0.014616559	0.014673293	0.00038190941
24	No HNF4A/FOXA2	100	0.014541406	0.014521508	0.00033900767
25	FOXA2 only	100	0.015825114	0.015789701	0.00038458565
25	HNF4A + FOXA2	100	0.01579893	0.015709554	0.00037456402
25	HNF4A only	100	0.015869166	0.015904183	0.0003669031
25	No HNF4A/FOXA2	100	0.015813515	0.015781856	0.00039894192
26	FOXA2 only	100	0.01729672	0.017350314	0.00042017701
26	HNF4A + FOXA2	100	0.017247268	0.017195686	0.00043228294
26	HNF4A only	100	0.017189829	0.01716673	0.00042375469
26	No HNF4A/FOXA2	100	0.017282615	0.01732112	0.00041117992
27	FOXA2 only	100	0.018777004	0.018789767	0.00046081821
27	HNF4A + FOXA2	100	0.018746965	0.018768858	0.00043387106
27	HNF4A only	100	0.018724054	0.018723779	0.0004367585
27	No HNF4A/FOXA2	100	0.018749064	0.018671631	0.00044899553
28	FOXA2 only	100	0.0204118	0.02044656	0.00050865296
28	HNF4A + FOXA2	100	0.020374693	0.020290984	0.00049157487
28	HNF4A only	100	0.020392059	0.020365627	0.00049771231
28	No HNF4A/FOXA2	100	0.020356863	0.020285101	0.0004918871
29	FOXA2 only	100	0.022262241	0.022289426	0.00053062594
29	HNF4A + FOXA2	100	0.022161698	0.022128755	0.00055034442
29	HNF4A only	100	0.022182473	0.022153855	0.00050936542
29	No HNF4A/FOXA2	100	0.02219755	0.022120545	0.00054485075
30	FOXA2 only	100	0.024256216	0.024307288	0.00058187688
30	HNF4A + FOXA2	100	0.024233421	0.02421671	0.00056083178
30	HNF4A only	100	0.0242007	0.024162629	0.00061040983
30	No HNF4A/FOXA2	100	0.024151306	0.024076436	0.00058984952
31	FOXA2 only	100	0.026394289	0.026251437	0.00066661978
31	HNF4A + FOXA2	100	0.026458911	0.02639816	0.00062631435
31	HNF4A only	100	0.02658688	0.026610722	0.00065871292
31	No HNF4A/FOXA2	100	0.026426872	0.026378734	0.00071754092
32	FOXA2 only	100	0.028968786	0.028978423	0.00078234807
32	HNF4A + FOXA2	100	0.028860305	0.028779786	0.00074007044
32	HNF4A only	100	0.028919448	0.028849194	0.00072926132
32	No HNF4A/FOXA2	100	0.029034054	0.029048204	0.00078438062
33	FOXA2 only	100	0.031820895	0.031915379	0.00086590551
33	HNF4A + FOXA2	100	0.031758242	0.031619834	0.00086725408
33	HNF4A only	100	0.031938303	0.032119821	0.000843039
33	No HNF4A/FOXA2	100	0.031807448	0.03189752	0.0007780304
