stratum	ctcf_bound	count	mean	median
0	False	20	-0.005368083105935829	-0.004304611588655435
0	True	20	-0.005022794595624595	-0.004381334021184518
1	False	20	-0.002158293730299177	-0.001979155509391023
1	True	20	-0.002239808762945438	-0.0022721110341751387
2	False	20	-0.0010537963911811227	-0.0009752224873635078
2	True	20	-0.0012265706958103193	-0.001249390479820017
3	False	20	-0.0005128253109997822	-0.0005077544837450672
3	True	20	-0.00045640575450850283	-0.00045067912595736
4	False	20	6.137892484124916e-05	4.8876173750843246e-05
4	True	20	8.936790569851403e-05	0.00013690487629599757
5	False	20	0.0005227149718426248	0.0005199990418320693
5	True	20	0.0005169586090619135	0.000529613011000129
6	False	20	0.0009027558124417168	0.000923553854346769
6	True	20	0.0009286042824303549	0.0009360561109239441
7	False	20	0.0012862643828605229	0.0012830682614198982
7	True	20	0.0012511788237671013	0.001242193697875753
8	False	20	0.0015819182874661432	0.0015774134942229488
8	True	20	0.0015771738257239671	0.001608061583985028
9	False	20	0.0019315268580945594	0.001943308803287437
9	True	20	0.0018862819534057594	0.001881486296083214
10	False	20	0.002264942131051685	0.002286374172639702
10	True	20	0.002256700193785016	0.0022716904488175645
11	False	20	0.0025977596589017342	0.00258021511987094
11	True	20	0.002555745117599898	0.0025808009741137006
12	False	20	0.0028571461881993815	0.002853433746942287
12	True	20	0.0028597730769931123	0.0028426793285394724
13	False	20	0.003173176242964861	0.0031713750555513774
13	True	20	0.003226020014394948	0.003246106672154651
14	False	20	0.003576218592898418	0.003559470646373975
14	True	20	0.0035803733866187374	0.003588779386599703
15	False	20	0.0038999847134772872	0.0038761860253508683
15	True	20	0.00391676600073619	0.0039419141207250605
16	False	20	0.0042591973531573004	0.004223550017546009
16	True	20	0.004283311885657292	0.0042938901924453095
17	False	20	0.004660379068623451	0.0046218308221725665
17	True	20	0.004660451771434042	0.004669157500210418
18	False	20	0.00510879975074171	0.0050857493204079654
18	True	20	0.0051071045325365525	0.00508939827118034
19	False	20	0.0055651843312182455	0.005537906360166058
19	True	20	0.005538213216039186	0.005513316886961599
20	False	20	0.006046916349504765	0.006020052999203626
20	True	20	0.006128768660199902	0.006192854724561787
21	False	20	0.006676178327150527	0.0066598571418499605
21	True	20	0.006676701873305535	0.006693285883778788
22	False	20	0.007338300670840662	0.007293022948510807
22	True	20	0.007321557689428019	0.007286548619106352
23	False	20	0.008077310294696896	0.008069588922223082
23	True	20	0.008028484739361425	0.008049178916373571
24	False	20	0.008792566665296306	0.008713720656366945
24	True	20	0.008862359904222242	0.008867662774660511
25	False	20	0.009872373710276858	0.00988647275387702
25	True	20	0.009851997121744428	0.009828051370028703
26	False	20	0.010988437383693563	0.011084988531421269
26	True	20	0.011010516209950211	0.010975190741682786
27	False	20	0.012273364459532258	0.012264446545249236
27	True	20	0.01217244375859796	0.012182687960586731
28	False	20	0.013800752059982723	0.013783065571398738
28	True	20	0.013711055671023159	0.013654901961120774
29	False	20	0.015482697655930081	0.01551842127352306
29	True	20	0.015445612079684404	0.01555990127538813
30	False	20	0.017625294142231872	0.01777672412737495
30	True	20	0.01740925750164816	0.01744481616939695
31	False	20	0.019493917168331248	0.019450222335837732
31	True	20	0.019955772136960384	0.019900061028986157
32	False	20	0.02281646240002317	0.022645764961224307
32	True	20	0.023112564562945342	0.0232200297362474
33	False	20	0.02671273872639256	0.026915162613604916
33	True	20	0.026252144200789564	0.02605482441110803
34	False	20	0.030040711975446784	0.02999015469850276
34	True	20	0.03037409684253345	0.030228333302354686
35	False	20	0.03600997486475911	0.036205292924267246
35	True	20	0.03566197604341841	0.03568645884366947
36	False	20	0.04231451177934218	0.042192841017178795
36	True	20	0.041555004617399846	0.0415098694387889
37	False	20	0.04821284652290172	0.048346143240758616
37	True	20	0.048963617545905294	0.04968401469749391
38	False	20	0.056059052633934604	0.055555936522531275
38	True	20	0.05681828060350795	0.056983991097431054
39	False	20	0.066189439698478	0.06531440625112281
39	True	20	0.06638106225557974	0.06722391955343862
40	False	20	0.07761608287346936	0.07795449690264081
40	True	20	0.07690751044894081	0.07602961715781725
41	False	20	0.09343638577647112	0.09476807442603762
41	True	20	0.09097933327199284	0.08874452695707231
42	False	20	0.110981676090218	0.11288482159733276
42	True	20	0.10890530361215714	0.10829854160678357
43	False	20	0.1300077475447338	0.1288983252707151
43	True	20	0.13091023908697574	0.13176969543332806
44	False	20	0.15694426705812684	0.15611575696783941
44	True	20	0.1602648058404675	0.1595786963920457
45	False	20	0.19181634959832322	0.1920513061434364
45	True	20	0.1922476591744813	0.19539950508135578
46	False	20	0.23650598462608693	0.2355968701755717
46	True	20	0.23705935547793672	0.24004864373617277
47	False	20	0.304257827232182	0.3044876696653404
47	True	20	0.29504695405026016	0.2986673316907609
48	False	20	0.39401065515582645	0.391310709702902
48	True	20	0.3936704314799958	0.39184848955337537
49	False	20	0.8634489725286446	0.7525899376040668
49	True	20	0.7785730675644192	0.6491205217796655
